,,,,,,,
,S No.,Model,Field type,COLUMN,DESCRIPTION,Meanings,LONG DESCRIPTION
,49,Integrated Client Model,Measures,CIB_PE_ASSETS,CIB PE Asset,"Period End Asset-CIB , 
Drawn commitment-CIB, Exposure-CIB , outstanding balance-CIB , loan-outstanding amount-CIB , outstanding amount-CIB ",-
,50,Integrated Client Model,Measures,CIB_PE_GROSS_LIABILITIES_ABS,CIB Liabilities,"Deposits-CIB , PE Liabilities - CIB, Liabilities-CIB",-
,51,Integrated Client Model,Measures,CIB_NFI_YTD,CIB NFI YTD,"Non-Fee Income YTD- CIB , NFI YTD -  CIB, CIB - Non Fee Income YTD",-
,52,Integrated Client Model,Measures,CIB_NII_YTD,CIB NII YTD,"Net Interest Income YTD- CIB , Net Interest Revenue YTD - CIB, NII YTD - CIB",-
,53,Integrated Client Model,Measures,CIB_RORWA_RWA,CIB RORWA,"Return on Risk-Weighted Assets- CIB, Risk-Adjusted Return-CIB, RORWA-CIB",-
,54,Integrated Client Model,Measures,CIB_RWA,CIB RWA,"Risk-Weighted Assets-CIB , RWA-CIB",-
,55,Integrated Client Model,Measures,CIB_TOTAL_REVENUE_YTD,CIB Total Revenue YTD,"Revenue YTD-CIB, Total Income YTD-CIB, Total Revenue - CIB",-
,56,Integrated Client Model,Measures,CLIENT_PHYSICAL_INT,Client Physical Intensity,"Client emission intensity, Client intenstiy",-
,57,Integrated Client Model,Measures,EVIC,EVIC,"Enterprise Value including Cash , Total Enterprise Value, Company Value",Company Value
,58,Integrated Client Model,Measures,FIN_EMISSIONS,Financed Emission,"Attributed emission, Absolute emission",-
,59,Integrated Client Model,Measures,FIN_EMISSIONS_S12,Financed Emission Scope 1 & 2,"Attributed emission S1&2, Absolute emission S1&2",-
,60,Integrated Client Model,Measures,FIN_EMISSIONS_S3,Financed Emission Scope 3,"Attributed emission S3, Absolute emission S3",-
,61,Integrated Client Model,Measures,CARB_IMP_PE_ASSETS,In-scope Exposure for Net Zero,"Drawn commitment-Inscope-NZ, PE Asset-Inscope-NZ, outstanding balance-Inscope-NZ, loan-outstanding amount-Inscope-NZ, outstanding amount-Inscope-NZ",-
,62,Integrated Client Model,Measures,TR_YTD_TR,In-scope Revenue for Net Zero,"Total Revenue YTD - inscope-NZ , Total Income YTD -inscope-NZ, Total Revenue - YTD (Transactional Level)",Revenue from PMI at transactional level
,63,Integrated Client Model,Measures,RWA_ASS_TR,In-scope RWA for Net Zero,"Risk-Weighted Assets--inscope-NZ , RWA--inscope-NZ, Risk Weighted Asset(RWA) (Transactional Level)",RWA from PMI at transactional level
,64,Integrated Client Model,Measures,CGDLT,NZ Alignment Grading Delta,-,-
,65,Integrated Client Model,Measures,SF_PE_ASSETS,SF PE Asset,"Sustainability Finance PE Assets, Period End Asset-SF , Drawn commitment-SF, Exposure-SF , outstanding balance-SF , loan-outstanding amount-SF , outstanding amount-SF ",-
,66,Integrated Client Model,Measures,SF_PE_GROSS_LIABILITIES_ABS,SF Liabilities,"Sustainability Finance Liabilities, Deposits-SF , PE Liabilities - SF, Liabilities-SF",-
,67,Integrated Client Model,Measures,SF_NFI_MTD,SF NFI MTD,"Non-Fee Income MTD- SF , NFI MTD -  SF",-
,68,Integrated Client Model,Measures,SF_NFI_YTD,SF NFI YTD,"Non-Fee Income YTD- SF , NFI YTD -  SF",-
,69,Integrated Client Model,Measures,SF_NII_MTD,SF NII MTD,"Net Interest Income MTD- SF , Net Interest Revenue MTD - SF, NII MTD - SF",-
,70,Integrated Client Model,Measures,SF_NII_YTD,SF NII YTD,"Net Interest Income YTD- SF , Net Interest Revenue YTD - SF, NII YTD - SF",-
,71,Integrated Client Model,Measures,SF_TOTAL_REVENUE_MTD,SF Revenue MTD,"Total Revenue MTD- SF , Total Income MTD - SF",-
,72,Integrated Client Model,Measures,SF_TOTAL_REVENUE_YTD,SF Revenue YTD,"Total Revenue YTD- SF , Total Income YTD - SF",-
,73,Integrated Client Model,Measures,SF RORWA,SF RORWA,"Return on Risk-Weighted Assets- SF, Risk-Adjusted Return-SF, RORWA-SF",-
,74,Integrated Client Model,Measures,SF_RWA,SF RWA,"Risk-Weighted Assets-SF , RWA-SF",-
,75,Integrated Client Model,Measures,SECTOR_PHYSICAL_INT,Sectorwise Physical Intensity,"Portfolio Intensity, Sector intensity",-
,76,Integrated Client Model,Dimension,BEEN_TO_NZCRWF,Been to NZCRWF,-,-
,77,Integrated Client Model,Dimension,FBE_Location,Booking location,Booking Country,-
,78,Integrated Client Model,Dimension,CRA_SCORE,CRA Score,-,-
,79,Integrated Client Model,Dimension,CTP_SCORE,CTP Score,-,-
,80,Integrated Client Model,Dimension,Client_Domicile_Location,Client Domicile Location,-,-
,81,Integrated Client Model,Dimension,CLIENT_INDUSTRY,Client Industry,-,-
,82,Integrated Client Model,Dimension,CLIENT_SUB_SEGEMNT_ID,Client Segment Hierarchy,-,This displays the business segment which manages the client across all levels from L1 to L5.
,83,Integrated Client Model,Dimension,NAME,Client Sub Segment Level 5,-,This displays the business segment which manages the client across to the level L5.
,84,Integrated Client Model,Dimension,Client_Sub_Segment_Level_5_ID,Client Sub Segment Level 5 ID,-,This displays the business segment which manages the client across to the level L5.
,85,Integrated Client Model,Dimension,CLIENT_TIER,Client Tier,-,-
,86,Integrated Client Model,Dimension,BROAD_SECTOR,Industry,-,-
,87,Integrated Client Model,Dimension,Sector_Flag,Intensity Based Sector,-,-
,88,Integrated Client Model,Dimension,LE_NAME,LE Name,"Legal Entity Name, Client Name, LE - Name",Client name of company that borrows money from bank
,89,Integrated Client Model,Dimension,LE_ID,LEID,"Legal Entity ID , Client ID, LE ID",Client ID of company that borrows money from bank
,90,Integrated Client Model,Dimension,Management_Product_Hierarchy,Management Product Hierarchy,"Product level, Product Hierarchy",This provides drills down across all 7 levels of the Product Management Hierarchy.
,91,Integrated Client Model,Dimension,MB_DES,Maturity Bucket,"Loan maturity bucket, Maturity Bucket Desc",Bucketing of products by maturity (in days)
,92,Integrated Client Model,Dimension,MEASUR_UNIT,Measurement Unit,Carbon metric unit,-
,93,Integrated Client Model,Dimension,NET_ZERO_SEC,Net-Zero Sector,High Carbon Sector,-
,94,Integrated Client Model,Dimension,CL_GRD,NZ Alignment Client Grading,Client Grading,Client grading based on client grading delta
,95,Integrated Client Model,Dimension,Period_Date,Period,"Reporting Period, Reporting Month, Reporting Date, Period Name",This attribute denotes the reporting day expressed in YYYYMMDD format
,96,Integrated Client Model,Dimension,PRODUCT_ALTER_HIER_L1,Reporting Product Level 1,-,This allows a drill-down through Level 1 of the Customised Product Management Hierarchy created for reporting purpose.
,97,Integrated Client Model,Dimension,PRODUCT_ALTER_HIER_L2,Reporting Product Level 2,-,This allows a drill-down through Level 2 of the Customised Product Management Hierarchy created for reporting purpose.
,98,Integrated Client Model,Dimension,PRODUCT_ALTER_HIER_L3,Reporting Product Level 3,-,This allows a drill-down through Level 3 of the Customised Product Management Hierarchy created for reporting purpose.
,99,Integrated Client Model,Dimension,PRODUCT_ALTER_HIER_L4,Reporting Product Level 4,-,This allows a drill-down through Level 4 of the Customised Product Management Hierarchy created for reporting purpose.
,100,Integrated Client Model,Dimension,FOL_Region,Revised FAM Location,-,This represents the FAM Location based on the 'Revised FAM Location' attribute in PMI
,101,Integrated Client Model,Dimension,CLIENT_GROUP_ID,SCI Client Group ID,Client Group ID,-
,102,Integrated Client Model,Dimension,CLIENT_GROUP_NAME,SCI Client Group Name,"Client Group Name, Parent Name",-
,103,Integrated Client Model,Dimension,SUB_SECTOR,Sub Sector,-,-
,104,Integrated Client Model,Dimension,TRANSITION_50,Transition 50,-,-
,105,Integrated Client Model,Dimension,Ultimate_Parent_Location_Region,Ultimate Parent Location,Client Parent Location,This displays the Ultimate Parent Location aligned with the 'Ultimate Parent Location' attribute in PMI.
,106,Integrated Client Model,Dimension,ULT_PARENT_NAME,Ultimate Parent Name,Parent Name,"Displays name in the following order of precedence: Client Super Group, followed by Client Group, follwed by legal entity/subsidiary"
,107,Integrated Client Model,Dimension,VC_SCOPE,Value Chain Client Level,"Client value chain boundary, Value Chain Client Level",Value chain description of client's business activities
,108,Integrated Client Model,Dimension,Value_Chain_Sector_Level,Value Chain Sector Level,Sector Value chain boundary ,Value chain description of sector's in-scope activities
,109,Sustainable Finance,Measures,Avg_Assets__Contingents_MTD,Avg Assets and Contingents MTD,Average Assets & Contingents MTD,-
,110,Sustainable Finance,Measures,Avg_Assets__Contingents_YTD,Avg Assets and Contingents YTD,Average Assets & Contingents YTD,-
,111,Sustainable Finance,Measures,Avg_Assets_MTD,Avg Assets MTD,Average Assets MTD,-
,112,Sustainable Finance,Measures,Avg_Assets_YTD,Avg Assets YTD,Average Assets YTD,-
,113,Sustainable Finance,Measures,Avg_Gross_Liabilities_Abs_MTD,Avg Gross Liabilities MTD,Average Liabilities MTD,-
,114,Sustainable Finance,Measures,Avg_Gross_Liabilities__Abs_YTD,Avg Gross Liabilities YTD,Average Liabilities YTD,-
,115,Sustainable Finance,Measures,Total_Limit_CAT1_Outer,Cat1 limit, Category 1 Limit,-
,116,Sustainable Finance,Measures,NFI_MTD,NFI MTD,"Non-Fee Income MTD- SF , NFI MTD -  SF, SF - Non Fee Income MTD",-
,117,Sustainable Finance,Measures,NFI_YTD,NFI YTD,"Non-Fee Income YTD- SF , NFI YTD -  SF, SF - Non Fee Income YTD, Non Funded Income - YTD",Represents the Non Funded Income from a Client at the reporting date with the Year-to-Date view
,118,Sustainable Finance,Measures,NII_MTD,NII MTD,"Net Interest Income MTD- SF , Net Interest Revenue MTD - SF, NII MTD - SF, SF - Net Interest Income MTD",-
,119,Sustainable Finance,Measures,NII_YTD,NII YTD,"Net Interest Income YTD- SF , Net Interest Revenue YTD - SF, NII YTD - SF, SF - Net Interest Income YTD",Represents the Net Interest Income from a Client at the reporting date with the Year-to-Date view
,120,Sustainable Finance,Measures,PE_Assets,SF PE Asset," Sustainability Finance PE Assets, Period End Asset-SF , Drawn commitment-SF, Exposure-SF , outstanding balance-SF , loan-outstanding amount-SF , outstanding amount-SF ",-
,121,Sustainable Finance,Measures,PE_Assets__Contingents,PE Assets and Contingents," Sustainability Finance PE Aeets & Contingents, Period End Asset-SF , Drawn commitment-SF, Exposure-SF , outstanding balance-SF , loan-outstanding amount-SF , outstanding amount-SF ",-
