COLUMN,DESCRIPTION,LONG DESCRIPTION
GLB_REPORT_DATE,"Report Date, As of Date, CoB Date, month end, end of month, ME, period","COB stands for ""close of business,"" meaning the end of the business day. It's commonly used to set deadlines for completing financial transactions or submitting financial information. The last day of each month can also be called ""month end,"" ""end of month"", ""period"" or ""ME."" For example, ""ME April"" means the last day of April. If no report date is provided in a prompt then assume the most recent report date (CoB)."
GLB_SOLO_SUB,"SOLO, SUB","The category of the entity issuing the security can be classified as either ""Solo"" or ""Subsidiary."" A ""Solo"" entity issues securities independently, while a ""Subsidiary"" entity issues securities as part of a larger parent organization."
GLB_ASW_DM,"ASW for fixed coupon securities, DM (Discount Margin) for floating coupon securities",ASW/DM - the term Asset Swap Spread (ASW) and Discount margin (DM) refers to the difference between a security's Holding Yield and the relevant risk-free Swap Rate. This difference indicates the credit risk reflected in the security's yield. It is determined by the security's price and coupon at the time of purchase.
GLB_BOOK_PRICE,Book Price calculated from Book Value,"The book value price of a security, also known as the carrying value, is the value at which the security is recorded on the issuer's balance sheet. This value reflects any amortization of the security's premium or discount, as well as any adjustments made to the security's original cost over time. This accounting treatment ensures that the security's value on the balance sheet represents its true economic value, considering the passage of time and changes in interest rates."
GLB_BOOK_VALUE_USD,Book value in USD,The book value of a security is its value on the issuer's balance sheet. It is usually the original cost minus any reductions due to amortization.
GLB_CR_DELTA_TOTAL,"CR Delta, CR01 in USD",CR01 (CR Delta) it's a measure of how sensitive a bond's price is to changes in credit spreads. It shows the change in the bond's present value for a 0.01% change in the spread. It's expressed in USD
GLB_IR_PV01_TOTAL,PV01 in USD,PV01 it's a measure of how sensitive a bond's price is to changes in interest rates. It is usually expressed as the change in the bond's present value for a 0.01% change in yield. It's expressed in USD
GLB_MARKET_PRICE,Market Price calculated from Market Value,Market Price is the current price at which a security is trading in the financial markets. It is determined by the supply and demand dynamics.
GLB_MARKET_VALUE_USD,Market Value in USD,Market Value in USD is the current value of a security based on prevailing market conditions. This value may differ from the bond's face value or book value. It's expressed in USD.
GLB_MARKET_YIELD,Market yield at report date (market date),"Market Yield is the yield of a security calculated based on its market price, coupon, and maturity."
GLB_MTM_USD,Mark-to-Market value in USD,Mark-to-Market (MTM) is the process of updating the recorded value of a security to match its current market value. This involves noting any potential gains or losses that haven't been realized yet as the security's value changes over time. This value is shown in USD currency.
GLB_NOTIONAL_USD,Notional in USD,Notional in USD is the principal amount or face value of a security. It is used to calculate interest and determine the repayment amount when the security matures.
