,Count of Variances,0,,,,,PL Threshold,,3000000,,,,,,
,Comments to be updated,0,,,,,,,0.1,,,,,,
,,,,,,,,,,,,,,,
,Sum of USD,,,Period,,,,,,,,,,,
,BS,IFRS Pack Sch Description,IFRS Line Item / General Ref,Nov'25,Oct'25,Variance,%,Conditions,Comments required,Commentaries,,,,,
,,,EY Companies-Non-Audit Work,30806.811478983407,45605.92269726299,-14799.111218279584,-0.32449976544752035,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Financial Grp Cost Recharges - GINGER,14541899.919216273,18341946.541888338,-3800046.622672064,-0.2071779357765396,True,Variance exceeds $3M and 10%,Group Recharges and hence excluded,Cost Controller/LEC,,,,
,,,Financial Grp Cost Recharges - HOAE Only,63546463.76144434,7004475.722069081,56541988.03937526,8.072265546046191,True,Variance exceeds $3M and 10%,,Cost Controller/LEC,,,,
,,,"Frauds, Shortages & Losses",158223.88633857365,323209.7198897506,-164985.83355117694,-0.5104606185960463,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Hire of Equipment,457.03716051599,7233.927312351772,-6776.8901518357825,-0.9368203272189909,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Indirect Taxes,2344.9375528941086,12664.157425806032,-10319.219872911923,-0.8148366706089915,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Insurance-Non Premises & Eqmt,945864.7577770369,265923.09339144925,679941.6643855877,2.5569109313296337,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Insurance-Premises & Eqmt,381.8364834713923,6093.146593167104,-5711.310109695712,-0.9373334487143988,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Lease Finance Cost-non Property,375936.49757648807,903932.4504839433,-527995.9529074553,-0.5841099659878115,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Non EY Comp-Audit Fees,22322.8464083297,22246.145759887186,76.70064844251465,0.003447817400388354,False,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
,,,Operational Losses (Ext & Int),299.68455876695816,,299.68455876695816,#DIV/0!,#DIV/0!,Variance does not exceed $3M,Immaterial variance,Cost Controller/LEC,,,,
